position.x,position.y,position.z
-0.009441592,-0.020774942,-0.084200704
0.025460771,-0.018364693,-0.045573315
0.018565657,-0.008774662,-0.063450233
0.048952736,0.016800626,-0.042592467
0.082915485,0.008971435,-0.038919779
-0.02606039,0.016998688,-0.07232431
-0.013037525,0.024592086,-0.080850356
-0.068583919,-0.006758762,-0.069939567
-0.029775688,-0.00562181,-0.077935066
0.040306276,-0.01342473,-0.076287516
-0.005757738,-0.004565805,-0.060756944
0.006574933,0.016846735,-0.091107737
0.038639972,0.027107379,-0.050213813
0.040381277,0.020935291,-0.079150733
0.042011068,0.027382435,-0.083496401
0.065618542,0.028000057,-0.071432947
-0.045637012,-0.021499836,-0.048817073
0.01185791,0.005600471,-0.09026163
0.025813958,-0.006659257,-0.087184535
-0.028245422,-0.008691493,-0.042857726
-0.057445381,-0.007348678,-0.06739484
-0.027868352,-0.007666599,-0.091341431
0.019317693,0.0237996,-0.090237573
-0.015872143,0.014552182,-0.049584702
0.006551755,-0.017787286,-0.082150748
0.024351668,-0.003564532,-0.084641343
-0.041073039,0.027997767,-0.07571475
-0.021786057,0.023521576,-0.072849529
-0.072329723,-0.014340556,-0.051261324
0.045323943,0.000791673,-0.052425287
0.001939445,0.025391625,-0.068205631
-0.076397102,0.028000338,-0.042611872
-0.014799126,0.010101032,-0.085709961
0.037089116,0.01068488,-0.083269959
-0.02083719,0.015935194,-0.088729505
0.05959327,0.019100866,-0.039798125
-0.043041408,0.019547555,-0.052570329
-0.037011395,-0.016064629,-0.09071289
0.035079786,-0.027881578,-0.079752738
-0.033610378,-0.019861754,-0.058879785
-0.075683283,0.024037667,-0.053941447
-0.064913234,0.010856997,-0.044152637
-0.060211101,0.005302169,-0.050725183
0.007971563,0.024746598,-0.070387606
-0.032183394,0.011786795,-0.079334322
-0.033443111,0.025268756,-0.080798652
0.001316082,-0.003921253,-0.044468307
0.068503402,-0.024672238,-0.047094737
-0.084429567,-0.008198089,-0.041870584
-0.05002837,-0.013693201,-0.075953154
-0.029384614,-0.004636351,-0.093465169
-0.0058287,-0.00743482,-0.055679893
-0.030670275,0.024431773,-0.069670925
0.050432333,0.000997359,-0.062352782
0.019905354,-0.015194672,-0.051575801
-0.019570155,-0.028000275,-0.078475041
-0.028629712,0.005902708,-0.073796791
0.080747407,-0.007817708,-0.039842655
-0.032756899,-0.024410171,-0.066505875
-0.037404815,-0.015950626,-0.080378862
-0.059830218,-0.024714169,-0.077555919
0.051446011,-0.021336462,-0.075899969
0.057752773,-0.028000318,-0.074203886
-0.036344256,0.014711168,-0.07099717
0.078938059,-0.027329767,-0.058047624
0.035778971,-0.025047043,-0.041605305
-0.06363583,-0.02658052,-0.04414422
-0.062766177,0.010268902,-0.075245646
0.002153021,-0.020784085,-0.083957909
0.013621394,0.028001193,-0.096820701
-0.042255427,0.010975616,-0.039766733
0.07637519,-0.028000288,-0.047541312
0.002748943,-0.009382738,-0.097914505
0.021595849,0.018763969,-0.095541835
0.063081284,-0.014249532,-0.074967473
0.036433519,-0.023817572,-0.089213879
0.043721033,-0.028000716,-0.069376203
0.075116899,-0.025696057,-0.051943021
0.013597612,0.018671189,-0.080871112
-0.053656889,-0.005634069,-0.053148976
0.042640371,0.006909154,-0.083942973
0.044659801,0.004510935,-0.044024873
0.02794605,-0.011849004,-0.039843679
-0.023462188,0.020185954,-0.082760945
0.054383942,0.019940196,-0.072762334
0.010919698,0.000590709,-0.055517993
0.04416604,0.02141003,-0.054795389
0.036359935,-0.005450214,-0.042491396
0.05289616,0.021285764,-0.050052292
-0.044518997,-0.005800798,-0.051449684
-0.049378966,0.022371033,-0.067101421
0.07057805,-0.028000473,-0.040826764
0.060992053,0.002515819,-0.063844586
0.039949962,-0.016356361,-0.078983875
0.070291415,-0.024075371,-0.063260611
-0.060612503,-0.009329833,-0.039458681
0.041278904,0.002875027,-0.045694683
-0.057758211,-0.024081576,-0.059792119
-0.004498004,-0.022348958,-0.089100047
